,titles,series,author,avg_rating,no_of_reviews,score,no_of_votes,pages,language,genre,no_of_awards,description,urls
389,The Sorrows of Young Mike,,John Zelazny,3.61 avg rating — 64 ratings,11,"score: 1,100","score: 1,100,
              and
11 people voted",211.0,English,Fiction,0,"“‘The Sorrows of Young Mike’ is a deeply human story that explores one man’s struggle to find balance between his intellect and his libido, his compassion and his selfishness.”	-The Aspen Daily NewsThoughtful yet spontaneous, self-aggrandizing and hopelessly philosophical, Mike would like to find out if the earth really is round. During his four-month voyage around the planet, Mike’s past loves, current romances and vision of himself are on a collision course. His mind becomes increasingly abstract as he navigates the continents and struggles with morality in a dream world of his own making, a universe where spring break happens weekly at a dart’s throw on a world map.Mike’s story is told through his journal which is interlaced with various documents — essays, instant message conversations and an email. These documents tell a story that parodies Goethe, in both his behavior as a writer and his apparent views on love, nature and the world. These views were described in Goethe's seventeenth-century novel, The Sorrows of Young Werther.",https://www.goodreads.com/book/show/22874450-the-sorrows-of-young-mike
390,This Side of the Grave ,"Night Huntress, #5)",Jeaniene Frost,"4.28 avg rating — 56,290 ratings",2430,"score: 1,098","score: 1,098,
              and
12 people voted",357.0,English,Paranormal,1,"Danger waits on both sides of the grave.Half-vampire Cat Crawfield and her vampire husband Bones have fought for their lives, as well as for their relationship. But just when they've triumphed over the latest battle, Cat's new and unexpected abilities threaten to upset a long-standing balance . . .With the mysterious disappearance of vampires, rumors abound that a species war is brewing. A zealot is inciting tensions between the vampires and ghouls, and if these two powerful groups clash, innocent mortals could become collateral damage. Now Cat and Bones are forced to seek help from a dangerous ""ally""—the ghoul queen of New Orleans herself. But the price of her assistance may prove more treacherous than even the threat of a supernatural war . . . to say nothing of the repercussions Cat never imagined.",https://www.goodreads.com/book/show/6871617-this-side-of-the-grave
391,Renatus 2,,John A.   Saunders,4.71 avg rating — 49 ratings,2,"score: 1,094","score: 1,094,
              and
11 people voted",306.0,English,Mystery,0,"The story continues two years after Eddie and Helen’s wedding. One of the prime suspects in the death of his first wife, Melanie, is brutally killed at his own garage. Shortly after, an attempt is made on the life of a former associate of the victim. Eddie faces up to the reality that Melanie could now be seeking a savage revenge for her death. A confrontation whilst driving home one evening makes Eddie a prime suspect in a murder investigation. He and Sean are reunited in a search for the truth, unaware that a tragic event from both their pasts threatens to tear apart the very fabric of their own existence. Is Melanie out for revenge? Is Eddie capable of murder? Can Sean and Eddie find the answers and prevent their own worlds from collapsing.",https://www.goodreads.com/book/show/20748764-renatus-2
392,Edge of Eternity ,"The Century Trilogy, #3)",Ken Follett,"4.12 avg rating — 78,000 ratings",6284,"score: 1,084","score: 1,084,
              and
13 people voted",37.0,English,Historical,1," Throughout these books, Follett has followed the fortunes of five intertwined families – American, German, Russian, English, and Welsh – as they make their way through the twentieth century. Now they come to one of the most tumultuous eras of all",https://www.goodreads.com/book/show/23190986-edge-of-eternity
393,The Aviator's Wife,,Melanie Benjamin,"3.89 avg rating — 66,312 ratings",7394,"score: 1,081","score: 1,081,
              and
15 people voted",416.0,English,Historical,1,"In the spirit of Loving Frank and The Paris Wife, acclaimed novelist Melanie Benjamin pulls back the curtain on the marriage of one of America’s most extraordinary couples: Charles Lindbergh and Anne Morrow Lindbergh.When Anne Morrow, a shy college senior with hidden literary aspirations, travels to Mexico City to spend Christmas with her family, she meets Colonel Charles Lindbergh, fresh off his celebrated 1927 solo flight across the Atlantic. Enthralled by Charles’s assurance and fame, Anne is certain the aviator has scarcely noticed her. But she is wrong. Charles sees in Anne a kindred spirit, a fellow adventurer, and her world will be changed forever. The two marry in a headline-making wedding. In the years that follow, Anne becomes the first licensed female glider pilot in the United States. But despite this and other major achievements, she is viewed merely as the aviator’s wife. The fairy-tale life she once longed for will bring heartbreak and hardships, ultimately pushing her to reconcile her need for love and her desire for independence, and to embrace, at last, life’s infinite possibilities for change and happiness.Look for special features inside. Join the Random House Reader’s Circle for author chats and more.",https://www.goodreads.com/book/show/13642950-the-aviator-s-wife
394,Blood Song ,"Raven's Shadow, #1)",Anthony Ryan,"4.43 avg rating — 69,350 ratings",3908,"score: 1,076","score: 1,076,
              and
12 people voted",591.0,English,Fantasy,0,"“The Sixth Order wields the sword of justice and smites the enemies of the Faith and the Realm.”Vaelin Al Sorna was only a child of ten when his father left him at the iron gate of the Sixth Order. The Brothers of the Sixth Order are devoted to battle, and Vaelin will be trained and hardened to the austere, celibate, and dangerous life of a Warrior of the Faith. He has no family now save the Order.Vaelin’s father was Battle Lord to King Janus, ruler of the unified realm. Vaelin’s rage at being deprived of his birthright and dropped at the doorstep of the Sixth Order like a foundling knows no bounds. He cherishes the memory of his mother, and what he will come to learn of her at the Order will confound him. His father, too, has motives that Vaelin will come to understand. But one truth overpowers all the rest: Vaelin Al Sorna is destined for a future he has yet to comprehend. A future that will alter not only the realm, but the world.",https://www.goodreads.com/book/show/13569581-blood-song
395,Evicted: Poverty and Profit in the American City,,Matthew Desmond,"4.48 avg rating — 60,387 ratings",8115,"score: 1,074","score: 1,074,
              and
12 people voted",418.0,English,Nonfiction,10,"In Evicted, Princeton sociologist and MacArthur ""Genius"" Matthew Desmond follows eight families in Milwaukee as they struggle to keep a roof over their heads. Evicted transforms our understanding of poverty and economic exploitation while providing fresh ideas for solving one of 21st-century America's most devastating problems. Its unforgettable scenes of hope and loss remind us of the centrality of home, without which nothing else is possible.",https://www.goodreads.com/book/show/25852784-evicted
396,A Brief History of Seven Killings,,Marlon James,"3.88 avg rating — 27,014 ratings",3923,"score: 1,070","score: 1,070,
              and
14 people voted",688.0,English,Fiction,11,"WINNER OF THE 2015 MAN BOOKER PRIZE FOR FICTION From the acclaimed author of The Book of Night Women comes a masterfully written novel that explores the attempted assassination of Bob Marley in the late 1970s.On December 3, 1976, just before the Jamaican general election and two days before Bob Marley was to play the Smile Jamaica Concert, gunmen stormed his house, machine guns blazing. The attack nearly killed the Reggae superstar, his wife, and his manager, and injured several others. Marley would go on to perform at the free concert on December 5, but he left the country the next day, not to return for two years.Deftly spanning decades and continents and peopled with a wide range of characters—assassins, journalists, drug dealers, and even ghosts—A Brief History of Seven Killings is the fictional exploration of that dangerous and unstable time and its bloody aftermath, from the streets and slums of Kingston in the 70s, to the crack wars in 80s New York, to a radically altered Jamaica in the 90s. Brilliantly inventive and stunningly ambitious, this novel is a revealing modern epic that will secure Marlon James’ place among the great literary talents of his generation.",https://www.goodreads.com/book/show/20893314-a-brief-history-of-seven-killings
397,Glass Sword ,"Red Queen, #2)",Victoria Aveyard,"3.90 avg rating — 182,567 ratings",17676,"score: 1,064","score: 1,064,
              and
15 people voted",444.0,English,Fantasy,1,"If there’s one thing Mare Barrow knows, it’s that she’s different.Mare Barrow’s blood is red—the color of common folk—but her Silver ability, the power to control lightning, has turned her into a weapon that the royal court tries to control. The crown calls her an impossibility, a fake, but as she makes her escape from Maven, the prince—the friend—who betrayed her, Mare uncovers something startling: she is not the only one of her kind.Pursued by Maven, now a vindictive king, Mare sets out to find and recruit other Red-and-Silver fighters to join in the struggle against her oppressors. But Mare finds herself on a deadly path, at risk of becoming exactly the kind of monster she is trying to defeat. Will she shatter under the weight of the lives that are the cost of rebellion? Or have treachery and betrayal hardened her forever?The electrifying next installment in the Red Queen series escalates the struggle between the growing rebel army and the blood-segregated world they’ve always known—and pits Mare against the darkness that has grown in her soul.",https://www.goodreads.com/book/show/23174274-glass-sword
398,Career of Evil ,"Cormoran Strike, #3)",Robert Galbraith,"4.21 avg rating — 157,618 ratings",13780,"score: 1,060","score: 1,060,
              and
15 people voted",494.0,English,Mystery,3,"When a mysterious package is delivered to Robin Ellacott, she is horrified to discover that it contains a woman’s severed leg.Her boss, private detective Cormoran Strike, is less surprised but no less alarmed. There are four people from his past who he thinks could be responsible – and Strike knows that any one of them is capable of sustained and unspeakable brutality.With the police focusing on the one suspect Strike is increasingly sure is not the perpetrator, he and Robin take matters into their own hands, and delve into the dark and twisted worlds of the other three men. But as more horrendous acts occur, time is running out for the two of them…A fiendishly clever mystery with unexpected twists around every corner, Career of Evil is also a gripping story of a man and a woman at a crossroads in their personal and professional lives. You will not be able to put this book down.",https://www.goodreads.com/book/show/24106033-career-of-evil
399,Beartown ,"Beartown, #1)",Fredrik Backman,"4.25 avg rating — 200,244 ratings",24102,"score: 1,059","score: 1,059,
              and
12 people voted",432.0,English,Fiction,2,"The #1 New York Times bestselling author of A Man Called Ove returns with a dazzling, profound novel about a small town with a big dream—and the price required to make it come true.People say Beartown is finished. A tiny community nestled deep in the forest, it is slowly losing ground to the ever encroaching trees. But down by the lake stands an old ice rink, built generations ago by the working men who founded this town. And in that ice rink is the reason people in Beartown believe tomorrow will be better than today. Their junior ice hockey team is about to compete in the national semi-finals, and they actually have a shot at winning. All the hopes and dreams of this place now rest on the shoulders of a handful of teenage boys.Being responsible for the hopes of an entire town is a heavy burden, and the semi-final match is the catalyst for a violent act that will leave a young girl traumatized and a town in turmoil. Accusations are made and, like ripples on a pond, they travel through all of Beartown, leaving no resident unaffected.Beartown explores the hopes that bring a small community together, the secrets that tear it apart, and the courage it takes for an individual to go against the grain. In this story of a small forest town, Fredrik Backman has found the entire world.",https://www.goodreads.com/book/show/33413128-beartown
400,The Buddha in the Attic,,Julie Otsuka,"3.63 avg rating — 41,413 ratings",6425,"score: 1,053","score: 1,053,
              and
14 people voted",129.0,English,Historical,5,"Julie Otsuka’s long-awaited follow-up to When the Emperor Was Divine is a tour de force of economy and precision, a novel that tells the story of a group of young women brought from Japan to San Francisco as “picture brides” nearly a century ago.In eight incantatory sections, The Buddha in the Attic traces the picture brides’ extraordinary lives, from their arduous journey by boat, where they exchange photographs of their husbands, imagining uncertain futures in an unknown land; to their arrival in San Francisco and their tremulous first nights as new wives; to their backbreaking work picking fruit in the fields and scrubbing the floors of white women; to their struggles to master a new language and a new culture; to their experiences in childbirth, and then as mothers, raising children who will ultimately reject their heritage and their history; to the deracinating arrival of war.",https://www.goodreads.com/book/show/10464963-the-buddha-in-the-attic
401,The Winner's Curse ,"The Winner's Trilogy, #1)",Marie Rutkoski,"3.99 avg rating — 90,156 ratings",12164,"score: 1,050","score: 1,050,
              and
15 people voted",355.0,English,Fantasy,1,"Winning what you want may cost you everything you love... As a general’s daughter in a vast empire that revels in war and enslaves those it conquers, seventeen-year-old Kestrel has two choices: she can join the military or get married. But Kestrel has other intentions. One day, she is startled to find a kindred spirit in a young slave up for auction. Arin’s eyes seem to defy everything and everyone. Following her instinct, Kestrel buys him—with unexpected consequences. It’s not long before she has to hide her growing love for Arin. But he, too, has a secret, and Kestrel quickly learns that the price she paid for a fellow human is much higher than she ever could have imagined. Set in a richly imagined new world, The Winner’s Curse by Marie Rutkoski is a story of deadly games where everything is at stake, and the gamble is whether you will keep your head or lose your heart.",https://www.goodreads.com/book/show/16069030-the-winner-s-curse
402,Being Mortal: Medicine and What Matters in the End,,Atul Gawande,"4.45 avg rating — 125,193 ratings",14634,"score: 1,046","score: 1,046,
              and
13 people voted",282.0,English,Nonfiction,3,"In Being Mortal, author Atul Gawande tackles the hardest challenge of his profession: how medicine can not only improve life but also the process of its endingMedicine has triumphed in modern times, transforming birth, injury, and infectious disease from harrowing to manageable. But in the inevitable condition of aging and death, the goals of medicine seem too frequently to run counter to the interest of the human spirit. Nursing homes, preoccupied with safety, pin patients into railed beds and wheelchairs. Hospitals isolate the dying, checking for vital signs long after the goals of cure have become moot. Doctors, committed to extending life, continue to carry out devastating procedures that in the end extend suffering.Gawande, a practicing surgeon, addresses his profession's ultimate limitation, arguing that quality of life is the desired goal for patients and families. Gawande offers examples of freer, more socially fulfilling models for assisting the infirm and dependent elderly, and he explores the varieties of hospice care to demonstrate that a person's last weeks or months may be rich and dignified.",https://www.goodreads.com/book/show/20696006-being-mortal
403,The Infinite Sea ,"The 5th Wave, #2)",Rick Yancey,"3.88 avg rating — 115,559 ratings",11957,"score: 1,041","score: 1,041,
              and
14 people voted",320.0,English,Young Adult,2,"How do you rid the Earth of seven billion humans? Rid the humans of their humanity.Surviving the first four waves was nearly impossible. Now Cassie Sullivan finds herself in a new world, a world in which the fundamental trust that binds us together is gone. As the 5th Wave rolls across the landscape, Cassie, Ben, and Ringer are forced to confront the Others’ ultimate goal: the extermination of the human race.Cassie and her friends haven’t seen the depths to which the Others will sink, nor have the Others seen the heights to which humanity will rise, in the ultimate battle between life and death, hope and despair, love and hate.",https://www.goodreads.com/book/show/16131484-the-infinite-sea
404,The One and Only Ivan,,Katherine Applegate,"4.25 avg rating — 129,666 ratings",14011,"score: 1,028","score: 1,028,
              and
12 people voted",307.0,English,Childrens,12,"Ivan is an easygoing gorilla. Living at the Exit 8 Big Top Mall and Video Arcade, he has grown accustomed to humans watching him through the glass walls of his domain. He rarely misses his life in the jungle. In fact, he hardly ever thinks about it at all.Instead, Ivan thinks about TV shows he’s seen and about his friends Stella, an elderly elephant, and Bob, a stray dog. But mostly Ivan thinks about art and how to capture the taste of a mango or the sound of leaves with color and a well-placed line.Then he meets Ruby, a baby elephant taken from her family, and she makes Ivan see their home—and his own art—through new eyes. When Ruby arrives, change comes with her, and it’s up to Ivan to make it a change for the better.Katherine Applegate blends humor and poignancy to create Ivan’s unforgettable first-person narration in a story of friendship, art, and hope.",https://www.goodreads.com/book/show/11594337-the-one-and-only-ivan
405,I've Got Your Number,,Sophie Kinsella,"3.94 avg rating — 190,144 ratings",12653,"score: 1,016","score: 1,016,
              and
12 people voted",433.0,English,Womens Fiction,1,"I’ve lost it. :( The only thing in the world I wasn’t supposed to lose. My engagement ring. It’s been in Magnus’s family for three generations. And now the very same day his parents are coming, I’ve lost it. The very same day! Do not hyperventilate, Poppy. Stay positive :) !!   Poppy Wyatt has never felt luckier. She is about to marry her ideal man, Magnus Tavish, but in one afternoon her “happily ever after” begins to fall apart. Not only has she lost her engagement ring in a hotel fire drill but in the panic that follows, her phone is stolen. As she paces shakily around the lobby, she spots an abandoned phone in a trash can. Finders keepers! Now she can leave a number for the hotel to contact her when they find her ring. Perfect!   Well, perfect except that the phone’s owner, businessman Sam Roxton, doesn’t agree. He wants his phone back and doesn’t appreciate Poppy reading his messages and wading into his personal life.   What ensues is a hilarious and unpredictable turn of events as Poppy and Sam increasingly upend each other’s lives through emails and text messages. As Poppy juggles wedding preparations, mysterious phone calls, and hiding her left hand from Magnus and his parents . . . she soon realizes that she is in for the biggest surprise of her life.",https://www.goodreads.com/book/show/12033455-i-ve-got-your-number
406,Rivers of London ,"Peter Grant, #1)",Ben Aaronovitch,"3.87 avg rating — 86,452 ratings",8301,"score: 1,003","score: 1,003,
              and
12 people voted",392.0,English,Fantasy,3,"Probationary Constable Peter Grant dreams of being a detective in London’s Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he’ll face is a paper cut. But Peter’s prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter’s ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates crimes involving magic and other manifestations of the uncanny. Now, as a wave of brutal and bizarre murders engulfs the city, Peter is plunged into a world where gods and goddesses mingle with mortals and a long-dead evil is making a comeback on a rising tide of magic.",https://www.goodreads.com/book/show/9317452-rivers-of-london
407,All That Glitters ,"A Jake & Laura Mystery, #2)",Michael  Murphy,3.95 avg rating — 135 ratings,57,"score: 1,000","score: 1,000,
              and
10 people voted",266.0,English,Mystery,0,"In Michael Murphy’s rollicking new Jake & Laura mystery, the hard-boiled writer and the aspiring movie star head for sun-drenched Los Angeles, where a cold-blooded murderer lurks behind the scenes.   Just arrived from New York, Broadway actress Laura Wilson is slated to star in Hollywood’s newest screwball comedy. At her side, of course, is Jake Donovan, under pressure to write his next mystery novel. But peace and quiet are not to be had when an all-too-real murder plot intrudes: After a glitzy party, the son of a studio honcho is discovered dead from a gunshot wound. And since Jake exchanged words with the hothead just hours before his death, the bestselling author becomes the LAPD’s prime suspect.   In 1930s Tinseltown, anything goes. Proving his innocence won’t be easy in a town where sex, seduction, and naked power run rampant. With gossip columnist Louella Parsons dead-set on publicizing the charges against him, Jake has no choice but to do what everyone else does in the City of Angels: act like someone else. Blackie Doyle, the tough-talking, fist-swinging, womanizing hero from Jake’s novels wouldn’t pull any punches until he exposed the real killer—nor will Jake, to keep the role of a lifetime from being his last.",https://www.goodreads.com/book/show/22856323-all-that-glitters
408,Lord of Shadows ,"The Dark Artifices, #2)",Cassandra Clare,"4.50 avg rating — 88,057 ratings",12046,score: 995,"score: 995,
              and
14 people voted",701.0,English,Fantasy,1,"Would you trade your soul mate for your soul?A Shadowhunter’s life is bound by duty. Constrained by honor. The word of a Shadowhunter is a solemn pledge, and no vow is more sacred than the vow that binds parabatai, warrior partners—sworn to fight together, die together, but never to fall in love.Emma Carstairs has learned that the love she shares with her parabatai, Julian Blackthorn, isn’t just forbidden—it could destroy them both. She knows she should run from Julian. But how can she when the Blackthorns are threatened by enemies on all sides?Their only hope is the Black Volume of the Dead, a spell book of terrible power. Everyone wants it. Only the Blackthorns can find it. Spurred on by a dark bargain with the Seelie Queen, Emma; her best friend, Cristina; and Mark and Julian Blackthorn journey into the Courts of Faerie, where glittering revels hide bloody danger and no promise can be trusted. Meanwhile, rising tension between Shadowhunters and Downworlders has produced the Cohort, an extremist group of Shadowhunters dedicated to registering Downworlders and “unsuitable” Nephilim. They’ll do anything in their power to expose Julian’s secrets and take the Los Angeles Institute for their own.When Downworlders turn against the Clave, a new threat rises in the form of the Lord of Shadows—the Unseelie King, who sends his greatest warriors to slaughter those with Blackthorn blood and seize the Black Volume. As dangers close in, Julian devises a risky scheme that depends on the cooperation of an unpredictable enemy. But success may come with a price he and Emma cannot even imagine, one that will bring with it a reckoning of blood that could have repercussions for everyone and everything they hold dear.",https://www.goodreads.com/book/show/30312891-lord-of-shadows
409,Sing You Home,,Jodi Picoult,"3.77 avg rating — 78,748 ratings",6852,score: 994,"score: 994,
              and
12 people voted",466.0,English,Fiction,1,"After Zoe Baxter loses her baby, the only way she can find of coping is to try again. But her husband Max disagrees - more than that, he wants a divorce. When they separate, there is no mention of the unborn children they created together, still waiting at the clinic.The Zoe falls in love again, out of the blue, and finds herself with an unexpected second chance to have a family.But Max has found a new life too - one with no place in it for people like Zoe. And he will stand up in court to say that her new choice of partner makes her an unfit mother.Jodi Picoult's most powerful novel yet asks who has the right to decide what makes the ideal family?",https://www.goodreads.com/book/show/8554005-sing-you-home
410,Fairest ,"The Lunar Chronicles, #3.5)",Marissa Meyer,"really liked it 4.00 avg rating — 96,961 ratings",13002,score: 990,"score: 990,
              and
14 people voted",222.0,English,Fantasy,0,"In this stunning bridge book between Cress and Winter in the bestselling Lunar Chronicles, Queen Levana’s story is finally told.Mirror, mirror on the wall,Who is the fairest of them all? Fans of the Lunar Chronicles know Queen Levana as a ruler who uses her “glamour” to gain power. But long before she crossed paths with Cinder, Scarlet, and Cress, Levana lived a very different story – a story that has never been told . . . until now.  Marissa Meyer spins yet another unforgettable tale about love and war, deceit and death. This extraordinary book includes full-color art and an excerpt from Winter, the next book in the Lunar Chronicles series.",https://www.goodreads.com/book/show/22489107-fairest
411,Norse Mythology,,Neil Gaiman,"4.10 avg rating — 199,819 ratings",18968,score: 975,"score: 975,
              and
12 people voted",301.0,English,Fantasy,1,"Neil Gaiman, long inspired by ancient mythology in creating the fantastical realms of his fiction, presents a bravura rendition of the Norse gods and their world from their origin though their upheaval in Ragnarok. In Norse Mythology, Gaiman stays true to the myths in envisioning the major Norse pantheon: Odin, the highest of the high, wise, daring, and cunning; Thor, Odin’s son, incredibly strong yet not the wisest of gods; and Loki—son of a giant—blood brother to Odin and a trickster and unsurpassable manipulator.Gaiman fashions these primeval stories into a novelistic arc that begins with the genesis of the legendary nine worlds and delves into the exploits of deities, dwarfs, and giants. Through Gaiman’s deft and witty prose, these gods emerge with their fiercely competitive natures, their susceptibility to being duped and to duping others, and their tendency to let passion ignite their actions, making these long-ago myths breathe pungent life again.",https://www.goodreads.com/book/show/37903770-norse-mythology
412,"Going Clear: Scientology, Hollywood, and the Prison of Belief",,Lawrence Wright,"4.04 avg rating — 37,273 ratings",4379,score: 974,"score: 974,
              and
11 people voted",430.0,English,Nonfiction,4,"A clear-sighted revelation, a deep penetration into the world of Scientology by the Pulitzer Prize-winning author of the now-classic study of al-Qaeda's 9/11 attack, the Looming Tower. Based on more than two hundred personal interviews with both current and former Scientologists--both famous and less well known--and years of archival research, Lawrence Wright uses his extraordinary investigative skills to uncover for us the inner workings of the Church of Scientology: its origins in the imagination of science-fiction writer L. Ron Hubbard; its struggles to find acceptance as a legitimate (and legally acknowledged) religion; its vast, secret campaign to infiltrate the U.S. government; and its dramatic efforts to grow and prevail after the death of Hubbard.At the book's center, two men whom Wright brings vividly to life, showing how they have made Scientology what it is today: The darkly brilliant L. Ron Hubbard--whose restless, expansive mind invented a new religion tailor-made to prosper in the spiritually troubled post-World War II era. And his successor, David Miscavige--tough and driven, with the unenviable task of preserving the church in the face of ongoing scandals and continual legal assaults.We learn about Scientology's esoteric cosmology; about the auditing process that determines an inductee's state of being; about the Bridge to Total Freedom, through which members gain eternal life. We see the ways in which the church pursues celebrities, such as Tom Cruise and John Travolta, and how young idealists who joined the Sea Org, the church's clergy, whose members often enter as children, signing up with a billion-year contract and working with little pay in poor conditions. We meet men and women ""disconnected"" from friends and family by the church's policy of shunning critical voices. And we discover, through many firsthand stories, the violence that has long permeated the inner sanctum of the church.In Going Clear, Wright examines what fundamentally makes a religion a religion, and whether Scientology is, in fact, deserving of the constitutional protections achieved in its victory over the IRS. Employing all his exceptional journalistic skills of observations, understanding, and synthesis, and his ability to shape a story into a compelling narrative, Lawrence Wright has given us an evenhanded yet keenly incisive book that goes far beyond an immediate exposé and uncovers the very essence of what makes Scientology the institution it is.",https://www.goodreads.com/book/show/16142053-going-clear
413,The Racketeer,,John Grisham,"3.82 avg rating — 84,361 ratings",7734,score: 973,"score: 973,
              and
13 people voted",340.0,English,Fiction,0,"Given the importance of what they do, and the controversies that often surround them, and the violent people they sometimes confront, it is remarkable that in the history of this country only four active federal judges have been murdered.Judge Raymond Fawcett has just become number five.Who is the Racketeer? And what does he have to do with the judge’s untimely demise? His name, for the moment, is Malcolm Bannister. Job status? Former attorney. Current residence? The Federal Prison Camp near Frostburg, Maryland.On paper, Malcolm’s situation isn’t looking too good these days, but he’s got an ace up his sleeve. He knows who killed Judge Fawcett, and he knows why. The judge’s body was found in his remote lakeside cabin. There was no forced entry, no struggle, just two dead bodies: Judge Fawcett and his young secretary. And one large, state-of-the-art, extremely secure safe, opened and emptied.What was in the safe? The FBI would love to know. And Malcolm Bannister would love to tell them. But everything has a price—especially information as explosive as the sequence of events that led to Judge Fawcett’s death. And the Racketeer wasn’t born yesterday . . .Nothing is as it seems and everything’s fair game in this wickedly clever new novel from John Grisham, the undisputed master of the legal thriller.",https://www.goodreads.com/book/show/13573236-the-racketeer
414,Capital in the Twenty-First Century,,Thomas Piketty,"4.05 avg rating — 22,323 ratings",1880,score: 970,"score: 970,
              and
11 people voted",685.0,English,Economics,9,"What are the grand dynamics that drive the accumulation and distribution of capital? Questions about the long-term evolution of inequality, the concentration of wealth, and the prospects for economic growth lie at the heart of political economy. But satisfactory answers have been hard to find for lack of adequate data and clear guiding theories. In Capital in the Twenty-First Century, Thomas Piketty analyzes a unique collection of data from twenty countries, ranging as far back as the eighteenth century, to uncover key economic and social patterns. His findings will transform debate and set the agenda for the next generation of thought about wealth and inequality.Piketty shows that modern economic growth and the diffusion of knowledge have allowed us to avoid inequalities on the apocalyptic scale predicted by Karl Marx. But we have not modified the deep structures of capital and inequality as much as we thought in the optimistic decades following World War II. The main driver of inequality—the tendency of returns on capital to exceed the rate of economic growth—today threatens to generate extreme inequalities that stir discontent and undermine democratic values. But economic trends are not acts of God. Political action has curbed dangerous inequalities in the past, Piketty says, and may do so again.A work of extraordinary ambition, originality, and rigor, Capital in the Twenty-First Century reorients our understanding of economic history and confronts us with sobering lessons for today.",https://www.goodreads.com/book/show/18736925-capital-in-the-twenty-first-century
415,The Paying Guests,,Sarah Waters,"3.42 avg rating — 69,306 ratings",8311,score: 970,"score: 970,
              and
13 people voted",564.0,English,Historical,8,"It is 1922, and London is tense. Ex-servicemen are disillusioned; the out-of-work and the hungry are demanding change. And in South London, in a genteel Camberwell villa—a large, silent house now bereft of brothers, husband, and even servants—life is about to be transformed, as impoverished widow Mrs. Wray and her spinster daughter, Frances, are obliged to take in lodgers.With the arrival of Lilian and Leonard Barber, a modern young couple of the “clerk class,” the routines of the house will be shaken up in unexpected ways. Little do the Wrays know just how profoundly their new tenants will alter the course of Frances’s life—or, as passions mount and frustration gathers, how far-reaching, and how devastating, the disturbances will be.",https://www.goodreads.com/book/show/20821087-the-paying-guests
416,The Kill Order ,"The Maze Runner, #4)",James Dashner,"3.71 avg rating — 158,434 ratings",9605,score: 966,"score: 966,
              and
14 people voted",327.0,English,Young Adult,0,"Before WICKED was formed, before the Glade was built, before Thomas entered the Maze, sun flares hit the earth and mankind fell to disease.Mark and Trina were there when it happened, and they survived. But surviving the sun flares was easy compared to what came next. Now a disease of rage and lunacy races across the eastern United States, and there’s something suspicious about its origin. Worse yet, it’s mutating, and all evidence suggests that it will bring humanity to its knees.Mark and Trina are convinced there’s a way to save those left living from descending into madness. And they’re determined to find it—if they can stay alive. Because in this new, devastated world, every life has a price. And to some, you’re worth more dead than alive.",https://www.goodreads.com/book/show/13089710-the-kill-order
417,The Story of a New Name ,"The Neapolitan Novels, #2)",Elena Ferrante,"4.39 avg rating — 101,962 ratings",7004,score: 964,"score: 964,
              and
11 people voted",471.0,English,Fiction,2,"In 2012, Elena Ferrante's My Brilliant Friend introduced readers to the unforgettable Elena and Lila, whose lifelong friendship provides the backbone for the Neapolitan Novels. The Story of a New Name is the second book in this series. With these books, which the New Yorker's James Wood described as ""large, captivating, amiably peopled ... a beautiful and delicate tale of confluence and reversal,"" Ferrante proves herself to be one of Italy's most accomplished storytellers. She writes vividly about a specific neighborhood of Naples from the late-1950s through to the current day and about two remarkable young women who are very much the products of that place and time. Yet in doing so she has created a world in which readers will recognize themselves and has drawn a marvelously nuanced portrait of friendship.In The Story of a New Name, Lila has recently married and made her entrée into the family business; Elena, meanwhile, continues her studies and her exploration of the world beyond the neighborhood that she so often finds stifling. Love, jealousy, family, freedom, commitment, and above all friendship: these are signs under which both women live out this phase in their stories. Marriage appears to have imprisoned Lila, and the pressure to excel is at times too much for Elena. Yet the two young women share a complex and evolving bond that is central to their emotional lives and is a source of strength in the face of life's challenges. In these Neapolitan Novels, Elena Ferrante, the acclaimed author of The Days of Abandonment, gives readers a poignant and universal story about friendship and belonging.",https://www.goodreads.com/book/show/17465515-the-story-of-a-new-name
418,The Gathering ,"Darkness Rising, #1)",Kelley Armstrong,"4.03 avg rating — 56,715 ratings",3377,score: 962,"score: 962,
              and
13 people voted",359.0,English,Young Adult,2,"Sixteen-year-old Maya is just an ordinary teen in an ordinary town. Sure, she doesn't know much about her background - the only thing she really has to cling to is an odd paw-print birthmark on her hip - but she never really put much thought into who her parents were or how she ended up with her adopted parents in this tiny medical-research community on Vancouver Island.Until now.Strange things have been happening in this claustrophobic town - from the mountain lions that have been approaching Maya to her best friend's hidden talent for ""feeling"" out people and situations, to the sexy new bad boy who makes Maya feel...different. Combine that with a few unexplained deaths and a mystery involving Maya's biological parents and it's easy to suspect that this town might have more than its share of skeletons in its closet.",https://www.goodreads.com/book/show/7896345-the-gathering
